epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4566.03,0.74566,0.42149,0.8153,0.91751,0.80309,0.87475,0.72121,0.7435,0.38512,0.81167,5.08618e-05,5.08618e-05,5.08618e-05
40,4682.67,0.73955,0.41844,0.8137,0.91868,0.80644,0.87737,0.72447,0.74714,0.3864,0.81216,5.07529e-05,5.07529e-05,5.07529e-05
41,4799.08,0.72863,0.41318,0.81377,0.91538,0.81198,0.87869,0.72902,0.741,0.38328,0.81215,5.0644e-05,5.0644e-05,5.0644e-05
42,4915.59,0.73177,0.41328,0.8135,0.9178,0.8118,0.87921,0.72236,0.76887,0.39148,0.81297,5.05351e-05,5.05351e-05,5.05351e-05
43,5032.04,0.72881,0.41236,0.81302,0.91102,0.81625,0.88076,0.72459,0.75972,0.3836,0.81143,5.04262e-05,5.04262e-05,5.04262e-05
44,5148.46,0.72272,0.40883,0.8129,0.92613,0.80947,0.88089,0.73153,0.72422,0.37648,0.8102,5.03173e-05,5.03173e-05,5.03173e-05
45,5265.13,0.72893,0.40989,0.81196,0.92147,0.81919,0.88606,0.73403,0.72577,0.37605,0.80958,5.02084e-05,5.02084e-05,5.02084e-05
46,5381.67,0.72171,0.40661,0.81191,0.92827,0.81729,0.88614,0.72568,0.75849,0.38156,0.81117,5.00995e-05,5.00995e-05,5.00995e-05
47,5498.13,0.72075,0.40458,0.81075,0.92632,0.81953,0.88996,0.73336,0.7421,0.37516,0.80983,4.99906e-05,4.99906e-05,4.99906e-05
48,5614.67,0.71371,0.4016,0.81036,0.92737,0.81872,0.88828,0.72777,0.7647,0.38073,0.81075,4.98817e-05,4.98817e-05,4.98817e-05
49,5731.36,0.71474,0.40096,0.80986,0.93021,0.81687,0.88601,0.72986,0.74421,0.37591,0.8093,4.97728e-05,4.97728e-05,4.97728e-05
50,5847.86,0.71044,0.39992,0.80993,0.93245,0.81511,0.88747,0.73291,0.75361,0.37679,0.80928,4.96639e-05,4.96639e-05,4.96639e-05
51,5964.37,0.70594,0.39693,0.81028,0.93412,0.81831,0.89019,0.73623,0.7397,0.37298,0.80927,4.9555e-05,4.9555e-05,4.9555e-05
52,6080.87,0.71206,0.39858,0.81051,0.92904,0.82318,0.89212,0.73303,0.76735,0.37896,0.80928,4.94461e-05,4.94461e-05,4.94461e-05
53,6197.37,0.70381,0.39492,0.8093,0.92628,0.82684,0.89443,0.74697,0.70174,0.36298,0.80666,4.93372e-05,4.93372e-05,4.93372e-05
54,6314.21,0.70996,0.3989,0.80923,0.9329,0.81863,0.89085,0.73447,0.744,0.3732,0.80897,4.92283e-05,4.92283e-05,4.92283e-05
55,6430.8,0.70632,0.3972,0.80847,0.92339,0.82409,0.89049,0.72735,0.77914,0.38128,0.81007,4.91194e-05,4.91194e-05,4.91194e-05
56,6547.41,0.70016,0.39236,0.80786,0.93272,0.82353,0.89047,0.73609,0.73298,0.36798,0.80789,4.90105e-05,4.90105e-05,4.90105e-05
57,6663.71,0.69618,0.38948,0.80782,0.93532,0.8239,0.89042,0.73265,0.75942,0.37424,0.80866,4.89016e-05,4.89016e-05,4.89016e-05
58,6780.21,0.69497,0.39074,0.8071,0.93277,0.82504,0.89215,0.73176,0.77174,0.37586,0.80885,4.87927e-05,4.87927e-05,4.87927e-05
